name,price,status,shipping,free_returns,items_sold
Donald Trump Pre-printed Autographed 8x10 Photo w/ Ivanka and Donald Trump Jr. ,599,Brand New,0,False,
Donald Trump Autographed on a￼ $1000 TRUMP BILL (PLAY MONEY) Donald Trump Signed,14999,Brand New,1270,False,
President DONALD TRUMP Signed Autographed FRAMED Tie MAKE AMERICA GREAT AGAIN,199999,Brand New,7500,False,0
DONALD TRUMP Signed Official Major League Baseball JSA XX00616,240000,,4000,False,
Donald Trump Signed Autographed 11x14 Rare Golfing Photo PSA 45th President,199995,Brand New,800,True,
PRESIDENT DONALD TRUMP SIGNED FRAMED 8X10 PHOTO W/ MICHAEL JACKSON *PROOF* JSA ,249999,,2499,False,
President Donald Trump...Round...Decals..On Heavy Duty Vinyl.... Lot of 12,1089,Brand New,,True,
PRESIDENT DONALD TRUMP DAYTONA 500 START YOUR ENGINES MATTED MULTI IMAGE PIC #2,1095,Brand New,195,False,
President Donald J. Trump Signed 8x10 Photo Beckett Certified Full Letter,125000,,800,True,
FIRST LADY MELANIA TRUMP AUTOGRAPH 8X10 Beautiful look Showcase,59500,Pre-Owned,,False,
"Donald Trump 45th President of the United States signed,autographed jersey,proof",99999,,,True,
DONALD TRUMP JR SIGNED OFFICIAL HAT MAKE AMERICA GREAT MAGA PRESIDENT SON BAS A,39999,,999,False,
Donald Trump 11x14 Signed Autograph Dual Authenticated Beckett PSA/DNA Photo,189900,Pre-Owned,,False,
DONALD TRUMP SIGNED 8X10 PHOTO  BECKETT FULL LETTER PRESIDENTAL,125000,,800,True,
PSA/DNA US President DONALD TRUMP Autographed ART OF THE DEAL Book FIRST EDITION,399995,Brand New,1500,False,
PRESIDENT DONALD J TRUMP SIGNED AUTOGRAPHED $100 DOLLAR BILL ONE HUNDRED BAS,899999,,5000,False,
2 President Donald Trump Hats....Make America Great Again..MAGA...Red + 4 Decals,2690,Brand New,,True,
DONALD TRUMP SIGNED FRAMED NATIONAL DORAL GOLF FLAG PRESIDENT 2024 JSA,359995,,9999,False,
DONALD J TRUMP SIGNED AUTOGRAPH BASEBALL 2016 PRESIDENT MLB REPUBLICAN USA JSA !,134995,,1000,False,
 President Donald Trump Signed 2015 Rolling Stones Magazine,119500,Brand New,0,False,
PSA/DNA President DONALD TRUMP Signed Autographed 1987 ART OF THE DEAL Book RARE,299995,Brand New,1500,False,0
Donald Trump Game-Worn Generals Warm-Up 1st Game Ticket Signed Book Hologram COA,159995,Pre-Owned,995,False,
JSA 45th President DONALD TRUMP Signed Autographed FRAMED Rolling Stone Magazine,199999,Brand New,7500,False,
RUDY GUILIANI SIGNED BASEBALL DONALD TRUMP NYC MAYOR REP W/COA+PROOF RARE WOW,9000,Brand New,0,False,
